23,128,1655
23,269,1302
46,385,1081
73,148,1452
73,242,1323
76,171,1026
79,344,1797
82,409,1875
95,136,1690
98,165,1512
105,289,1374
107,343,1543
15,105,1018
118,276,1527
123,341,1548
124,314,1227
115,395,1977
128,117,1816
131,210,1719
132,466,1089
125,327,1479
140,236,1899
140,191,1179
140,414,1182
145,447,1384
139,271,1765
156,186,1314
156,247,1868
158,412,1252
160,420,1838
145,404,1134
162,409,1646
167,218,1895
180,301,1258
190,329,1415
160,128,1597
200,410,1112
206,385,1028
209,493,1101
194,348,1654
217,461,1002
218,174,1019
225,295,1062
227,136,1678
211,113,1419
239,423,1939
248,484,1747
251,222,1515
235,218,1489
260,483,1117
265,424,1650
273,307,1436
282,345,1131
251,472,1327
282,254,1413
284,474,1025
287,291,1511
290,126,1996
282,207,1994
293,393,1308
294,475,1180
298,385,1948
302,475,1087
290,393,1778
308,480,1412
309,178,1857
313,433,1749
303,208,1761
323,194,1548
333,218,1626
318,471,1715
339,496,1674
339,445,1612
333,282,1733
341,467,1763
346,444,1464
346,422,1292
340,371,1611
362,464,1334
369,249,1634
380,160,1405
356,471,1068
386,184,1056
387,265,1948
394,427,1946
403,376,1912
383,439,1992
406,414,1541
409,123,1817
411,359,1175
403,126,1745
413,449,1346
414,448,1593
413,183,1474
427,461,1472
430,194,1286
430,455,1225
421,269,1825
441,415,1384
446,361,1407
458,396,1731
438,494,1204
463,354,1185
463,139,1468
466,314,1139
471,424,1740
460,139,1473
476,408,1250
478,289,1304
472,409,1258
479,476,1673
480,465,1958
484,467,1430
478,296,1910
491,488,1469
496,296,1509
498,315,1198
484,180,1572
509,131,1097
512,240,1223
513,298,1611
501,426,1576
513,442,1870
517,146,1825
530,239,1041
513,466,1861
534,153,1155
536,129,1730
536,195,1427
538,277,1339
530,188,1081
549,454,1134
557,398,1769
564,441,1475
539,150,1652
574,133,1926
579,249,1429
582,402,1817
589,237,1856
572,346,1820
590,273,1736
605,430,1949
608,317,1825
589,384,1136
623,404,1198
628,159,1798
611,474,1130
630,355,1714
631,396,1315
629,154,1637
649,370,1603
651,162,1705
654,197,1968
656,212,1594
646,476,1070
660,114,1415
661,461,1454
657,436,1322
665,259,1429
674,275,1632
685,455,1494
685,205,1825
